rule,entropy_mean,entropy_std,entropy_ci95,sens_mean,sens_std,sens_ci95,lyap_mean,lyap_std,lyap_ci95,lyap_bad_frac,glider_heuristic,runs,N,T,seed
0,0.004951272163191709,4.405605061204015e-05,1.9308415501783826e-05,2.4875621890547263e-05,0.0,0.0,nan,nan,nan,1.0,0,20,200,200,12345
1,0.6495761452071862,0.06449387140975328,0.028265685398450348,0.005248756218905472,0.005925247924939109,0.0025968544001658696,0.003531170922608829,0.00292057761320592,0.0019081107072945341,0.55,0,20,200,200,12345
2,0.5340293046023952,0.03979884639249458,0.01744261348809927,0.004253731343283581,0.004043421397449,0.0017721075608491388,0.0012602676010180823,0.0017485503339591212,0.0010333272140176679,0.44999999999999996,1,20,200,200,12345
3,0.8719689215352238,0.04964867054719003,0.02175948925785768,0.0056218905472636815,0.0038600479151101245,0.0016917405887801448,0.00186616548612293,0.0017982820587746993,0.000977557262653222,0.35,1,20,200,200,12345
4,0.5430883780775264,0.05899358429511429,0.025855078285166953,0.004502487562189055,0.0027487873206621014,0.0012047091597192341,0.0002665950694461328,0.000961222192673915,0.0005225263361144203,0.35,0,20,200,200,12345
5,0.8675457927675065,0.05235164870170725,0.022944121665316376,0.006865671641791045,0.0035063529041220423,0.001536726915557255,0.002444656792575343,0.0021354720651622014,0.001160855838107389,0.35,0,20,200,200,12345
6,0.8003324606279654,0.04320899037989385,0.01893717498680111,0.015573383084577114,0.01681480571280222,0.007369413526046403,0.004585342517438055,0.0026926046978599915,0.0012799830242076296,0.15000000000000002,1,20,200,200,12345
7,0.9378517680377003,0.053202969133928316,0.023317229295304217,0.007977611940298506,0.006338273619824158,0.002777870892088413,0.004079106846363242,0.0033048018651664003,0.001619352913931536,0.19999999999999996,0,20,200,200,12345
8,0.007596221234435823,0.00015615317541670183,6.843714656630209e-05,4.35323383084577e-05,1.5887223225335947e-05,6.962882576690669e-06,nan,nan,nan,1.0,0,20,200,200,12345
9,0.9736751812247615,0.0033232408405655567,0.0014564745153211925,0.028233830845771146,0.035719186581804674,0.015654623742391068,0.010142004415290232,0.006420991684206663,0.0033635211351876275,0.30000000000000004,0,20,200,200,12345
10,0.8179365175937804,0.03609434410893996,0.01581904377804833,0.004502487562189055,0.002748787320662102,0.0012047091597192344,0.000990210257942779,0.0016247620517556662,0.0008511024105782203,0.30000000000000004,1,20,200,200,12345
11,0.9888818384083743,0.009609492410477859,0.004211545738782974,0.011334577114427861,0.01526543572998404,0.006690372191686093,0.0048191899094607036,0.003258098783933052,0.0017711226740734674,0.35,0,20,200,200,12345
12,0.8063740608483163,0.021377982004683813,0.009369313712911085,0.005,0.0036093345776617492,0.0015818606239616643,0.000990210257942779,0.0016247620517556662,0.0008511024105782203,0.30000000000000004,0,20,200,200,12345
13,0.9869874553033744,0.0036426020629086262,0.001596440742218352,0.008455223880597015,0.008913331577162056,0.0039064398012558345,0.006086609410329548,0.0024708004907504524,0.0015314180101481118,0.5,0,20,200,200,12345
14,0.9947470100552815,0.008860324375138708,0.0038832083706796658,0.032077114427860695,0.06622500851754096,0.02902438968772193,0.012310136012527461,0.005005199264933973,0.003102254644757612,0.5,0,20,200,200,12345
15,0.99770191175824,0.0036836849869356742,0.0016144461275427841,0.005000000000000001,8.898943666030574e-19,3.9001340211763674e-19,0.0,0.0,0.0,0.0,1,20,200,200,12345
16,0.5495807382930014,0.0464649163343889,0.02036414745253665,0.004004975124378109,0.0034619521091465632,0.0015172674091764953,0.0006301338005090412,0.0014019592014008976,0.0008285049435608026,0.44999999999999996,1,20,200,200,12345
17,0.8812615897639633,0.055106808492511136,0.024151623683214253,0.006119402985074627,0.002612096156149903,0.0011448016155077493,0.0024464018137409834,0.001627746006614332,0.0007737813344246198,0.15000000000000002,1,20,200,200,12345
18,0.8219285552523813,0.003836670210093271,0.0016814948578153229,0.1780771144278607,0.09630920802434675,0.04220937145631508,0.020320693711895012,0.0015192957677810479,0.0007222273633615105,0.15000000000000002,0,20,200,200,12345
19,0.9777781658141743,0.022431493683142623,0.00983103556362335,0.006492537313432837,0.005609015095252894,0.002458259251802354,0.004147715368829884,0.002251075459086983,0.001179185436754969,0.30000000000000004,0,20,200,200,12345
20,0.7890593693275253,0.042873091065237255,0.018789960621372236,0.013053482587064676,0.009365509941028692,0.0041046157069296796,0.004945546672478994,0.0036283736169133514,0.001724819331565103,0.15000000000000002,1,20,200,200,12345
21,0.9701375947537778,0.031044635096440894,0.013605911224814245,0.007457711442786069,0.00856275206406882,0.0037527915551879647,0.0026623999819157147,0.0025925120510470853,0.0013580408612541104,0.30000000000000004,0,20,200,200,12345
22,0.9280175671672375,0.005144284029394597,0.0022545818819173975,0.29397263681592045,0.06961757714288895,0.03051124844438571,0.022544062691073,0.00042316982939715045,0.0002011621677759383,0.15000000000000002,0,20,200,200,12345
23,0.992955228364421,0.009388970015643521,0.004114897537962491,0.009970149253731343,0.0058098101116232665,0.0025462615478072316,0.002127191739154309,0.0029770868820892206,0.0013386615208278053,0.050000000000000044,0,20,200,200,12345
24,0.7044452280863032,0.032788475067548804,0.014370182789400842,0.006996268656716419,0.004383565262972847,0.0019211821827155495,0.002396431508801161,0.002193333961949448,0.001042644781814659,0.15000000000000002,1,20,200,200,12345
25,0.9895567625482042,0.001961873180113372,0.0008598288316175688,0.04329850746268656,0.061964570171601785,0.02715717025565045,0.01425059545894516,0.006950115951397578,0.004107256058735403,0.44999999999999996,0,20,200,200,12345
26,0.9587416317765145,0.011187471597700562,0.0049031256098061,0.027542288557213933,0.022510266387765043,0.00986555922359557,0.004753625579594377,0.0037160233851788256,0.0016709278947023,0.050000000000000044,1,20,200,200,12345
27,0.9860017979493396,0.013564834894766066,0.005945051013938593,0.005996268656716418,0.003983056271128835,0.001745651377768378,0.002807208949097202,0.0023275211912867164,0.0012192301601551157,0.30000000000000004,1,20,200,200,12345
28,0.997734190817862,0.0018915317526791192,0.0008290003417956068,0.009223880597014926,0.006411333458703007,0.0028098907782554377,0.004982399021219992,0.003507537926505692,0.002072822453701335,0.44999999999999996,0,20,200,200,12345
29,0.996397573436629,0.003996182059615175,0.001751404008209871,0.008482587064676616,0.004301018536669739,0.001885004484814121,0.001354025100551105,0.002839517085343472,0.0012444732323156147,0.0,0,20,200,200,12345
30,0.996358322328365,0.0006494703341844373,0.0002846429240547578,0.3118694029850746,0.009928226726759706,0.004351237211984727,0.023052128882805934,0.00029723669499554835,0.00013026972526181384,0.0,0,20,200,200,12345
31,0.9628049810178251,0.0464405583735071,0.020353472105496952,0.0073619402985074635,0.006239429212937302,0.00273455042074146,0.004181764367292003,0.0037185375967661223,0.0018220834224154,0.19999999999999996,0,20,200,200,12345
32,0.008670623704677105,0.0011416359243948816,0.000500344004370542,7.08955223880597e-05,6.36896720129334e-05,2.7913229472774646e-05,nan,nan,nan,1.0,0,20,200,200,12345
33,0.9306864350253286,0.029842131268043966,0.013078890685328387,0.014666666666666666,0.006297127331856265,0.002759837736292487,0.004924515038722462,0.002260687048241568,0.0009907897834814125,0.0,0,20,200,200,12345
34,0.805021942576405,0.029792444686092545,0.01305711458066504,0.005,0.0036093345776617492,0.0015818606239616643,0.0006931471805599453,0.0014349509905790235,0.0007261853951138222,0.25,1,20,200,200,12345
35,0.9516698360333964,0.005874134605129528,0.0025744530000664876,0.02038930348258707,0.02971932236292446,0.013025067309550838,0.0025656562573022085,0.002920985923449082,0.0013885485674654645,0.15000000000000002,1,20,200,200,12345
36,0.33014705974543423,0.06216613241441831,0.027245508803470923,0.002531094527363184,0.0034137501155394375,0.0014961419540426128,0.0006301338005090412,0.0014019592014008976,0.0008285049435608026,0.44999999999999996,0,20,200,200,12345
37,0.9601738826182942,0.006619738226512317,0.002901228194876146,0.025665422885572137,0.017560048654643046,0.007696030646077172,0.0072743904349823404,0.0036261803349800087,0.0015892436026268984,0.0,0,20,200,200,12345
38,0.8503815311086443,0.023744785123038827,0.010406610914663142,0.00922636815920398,0.005688309576754471,0.0024930115905744668,0.0019540558038669627,0.001958198268902279,0.0009308683685428277,0.15000000000000002,1,20,200,200,12345
39,0.9907497130822017,0.007415784127954923,0.0032501106936479564,0.007610696517412935,0.004800947369541265,0.0021041079562398417,0.002873636585350047,0.002253203307885662,0.0010409268210866357,0.09999999999999998,1,20,200,200,12345
40,0.015069523518804617,0.0024774164184049366,0.0010857756179449899,0.00013805970149253732,9.428415122280778e-05,4.132185118167335e-05,nan,nan,nan,1.0,0,20,200,200,12345
41,0.9430555393275293,0.0038897848969950163,0.0017047733957164433,0.2581977611940299,0.03980039806684426,0.017443293539366935,0.022420715814480623,0.0008140781243973322,0.0003567854689290011,0.0,1,20,200,200,12345
42,0.9468516812022539,0.017063009376449823,0.007478193577825788,0.005995024875621891,0.003819760676367733,0.0016740839279072097,0.000912035763894665,0.001567947194439979,0.0007050350423141628,0.050000000000000044,1,20,200,200,12345
43,0.9997574254800761,0.00023540881212205216,0.00010317246085584748,0.08082089552238805,0.1210619180281288,0.053057724926691044,0.013512624614497667,0.00704751104124583,0.004604373880280609,0.55,0,20,200,200,12345
44,0.6445181516400497,0.03421751812329613,0.014996488522824149,0.004291044776119403,0.004036379551238961,0.0017690213356738407,0.0019835475175292426,0.0019863119115866384,0.0010052125193159333,0.25,0,20,200,200,12345
45,0.9965841523024681,0.00042802920475190767,0.00018759207004336655,0.290339552238806,0.02164314580579045,0.009485526872662632,0.02303306695359998,0.0002863996141782716,0.00012552016518233627,0.0,0,20,200,200,12345
46,0.95224586734506,0.02023727818771427,0.00886937822263136,0.0064875621890547255,0.00806527435598202,0.0035347623365636805,0.0038123094930796997,0.0010959619221467065,0.0006792842369487463,0.5,0,20,200,200,12345
47,0.9920760828149028,0.006767397947702666,0.0029659429210037226,0.009789800995024873,0.017181559474547664,0.007530150449130651,0.006822051624391257,0.004494971257048893,0.002543269407951673,0.4,0,20,200,200,12345
48,0.8036386343541487,0.0312933021065408,0.013714894347129868,0.005,0.0036093345776617492,0.0015818606239616643,0.001890401401527124,0.0018099215463626421,0.0010695952828871681,0.44999999999999996,1,20,200,200,12345
49,0.9502607589846134,0.008735179788417218,0.0038283613373062933,0.008564676616915423,0.012414243448219174,0.005440782078932094,0.0032131740022338876,0.0035885749589042505,0.001816069497520542,0.25,1,20,200,200,12345
50,0.9993841872020175,0.000439599058806784,0.00019266278215403172,0.005751243781094527,0.005148198006211756,0.0022562972578896003,0.004225982980502535,0.002893160161324809,0.0014176484790491563,0.19999999999999996,0,20,200,200,12345
51,0.9980098729141093,0.002939932626602971,0.001288482283661335,0.005000000000000001,8.898943666030574e-19,3.9001340211763674e-19,0.0,0.0,0.0,0.0,0,20,200,200,12345
52,0.8494411873928251,0.023421125325741483,0.010264760754228372,0.007240049751243783,0.005019554652041782,0.0021999168220731826,0.0021129914902512674,0.002296984547832665,0.0011255224284380057,0.19999999999999996,1,20,200,200,12345
